Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Alex Newhook,20242025,MTL,L,C,82,15,11,26,-21,24,0.32,14,22,1,4,0,0,0,3,118,12.7,15:08,42.8
Filip Chytil,20242025,"NYR,VAN",L,C,56,13,13,26,-7,18,0.46,12,21,1,5,0,0,0,1,133,9.8,14:58,46.8
Frank Nazar,20242025,CHI,R,C,53,12,14,26,-11,24,0.49,10,20,1,4,1,2,1,2,91,13.2,15:52,44.6
Ryan Hartman,20242025,MIN,R,R,69,11,15,26,-7,75,0.38,8,19,3,7,0,0,0,1,158,7,14:58,47.8
Jordan Eberle,20242025,SEA,R,R,42,9,17,26,0,14,0.62,8,21,1,5,0,0,1,1,66,13.6,16:16,38.9
Dante Fabbro,20242025,"NSH,CBJ",R,D,68,9,17,26,20,40,0.38,9,26,0,0,0,0,0,3,89,10.1,20:54,--
Teddy Blueger,20242025,VAN,L,C,82,8,18,26,-7,39,0.32,8,26,0,0,0,0,0,0,94,8.5,14:19,50.3
Esa Lindell,20242025,DAL,L,D,80,5,21,26,34,14,0.33,4,25,1,1,0,0,0,0,99,5.1,22:11,--
Anthony Beauvillier,20242025,"PIT,WSH",L,L,81,15,10,25,2,14,0.31,14,23,0,1,1,1,0,0,149,10.1,12:52,45.8
Joel Farabee,20242025,"PHI,CGY",L,L,81,11,14,25,-17,34,0.31,11,21,0,4,0,0,0,1,151,7.3,14:55,36.7
Mavrik Bourque,20242025,DAL,R,C,73,11,14,25,6,8,0.34,10,22,1,3,0,0,0,1,80,13.8,12:41,46.3
Drew O'Connor,20242025,"PIT,VAN",L,L,84,10,15,25,-16,34,0.3,8,21,1,2,1,2,1,2,117,8.6,14:28,41.7
Alex Turcotte,20242025,LAK,L,C,68,9,16,25,6,20,0.37,8,24,1,1,0,0,0,2,79,11.4,11:44,45.5
Nils Hoglander,20242025,VAN,L,L,72,8,17,25,5,30,0.35,8,24,0,1,0,0,0,2,83,9.6,12:08,0
Brett Kulak,20242025,EDM,L,D,82,7,18,25,-7,18,0.3,7,25,0,0,0,0,0,0,135,5.2,20:32,--
Damon Severson,20242025,CBJ,R,D,70,6,19,25,5,47,0.36,6,25,0,0,0,0,0,1,91,6.6,19:03,--
Sam Steel,20242025,DAL,L,C,79,6,19,25,-6,31,0.32,5,22,0,0,1,3,0,1,89,6.7,14:08,53.5
Miro Heiskanen,20242025,DAL,L,D,50,5,20,25,7,10,0.5,5,18,0,7,0,0,0,0,108,4.6,25:10,--
Martin Fehérváry,20242025,WSH,L,D,81,5,20,25,18,25,0.31,5,23,0,0,0,2,0,0,76,6.6,19:00,--
